Account Number,Owner,New Owner,,,,,,,,,,,,,
A10669,23,24,,,,,,,,,,,,,
A10352,23,24,,,,,,,,,,,,,
A10598,23,24,,,,,,,,,,,,,
A10788,29,29,,,,,,,,,,,,,
A10478,15,16,,,,,,,,,,,,,
A10490,18,19,,,,,,,,,,,,,
A10466,9,11,,,,,,,,,,,,,
A10714,25,26,,,,,,,,,,,,,
A10046,9,11,,,,,,,,,,,,,
A10545,25,26,,,,,,,,,,,,,
A10727,25,26,,,,,,,,,,,,,
A10450,9,11,,,,,,,,,,,,,
A10418,19,20,,,,,,,,,,,,,
A10483,23,24,,,,,,,,,,,,,
A10583,23,24,,,,,,,,,,,,,
A10558,15,16,,,,,,,,,,,,,
A10300,23,24,,,,,,,,,,,,,
A10451,25,26,,,,,,,,,,,,,
A10264,9,11,,,,,,,,,,,,,
A10414,19,20,,,,,,,,,,,,,
A10509,19,20,,,,,,,,,,,,,
A10510,19,20,,,,,,,,,,,,,
A10511,19,20,,,,,,,,,,,,,
A10623,29,29,,,,,,,,,,,,,
A10556,29,29,,,,,,,,,,,,,
A10493,25,26,,,,,,,,,,,,,
A10448,29,29,,,,,,,,,,,,,
A10529,3,5,,,,,,,,,,,,,
A10543,23,24,,,,,,,,,,,,,
A10439,25,26,,,,,,,,,,,,,
A10811,23,24,,,,,,,,,,,,,
A10592,25,26,,,,,,,,,,,,,
A10368,25,26,,,,,,,,,,,,,
A10043,9,11,,,,,,,,,,,,,
A10207,25,26,,,,,,,,,,,,,
A10550,23,24,,,,,,,,,,,,,
A10269,25,26,,,,,,,,,,,,,
A10367,19,20,,,,,,,,,,,,,
A10560,23,24,,,,,,,,,,,,,
A10343,22,23,,,,,,,,,,,,,
A10542,25,26,,,,,,,,,,,,,
A10798,7,9,,,,,,,,,,,,,
A10596,23,24,,,,,,,,,,,,,
A10335,25,26,,,,,,,,,,,,,
A10076,9,11,,,,,,,,,,,,,
A10366,19,20,,,,,,,,,,,,,
A10543,19,20,,,,,,,,,,,,,
A10547,25,26,,,,,,,,,,,,,
A10563,25,26,,,,,,,,,,,,,
A10752,23,24,,,,,,,,,,,,,
A10679,25,26,,,,,,,,,,,,,
A10678,25,26,,,,,,,,,,,,,
A10722,25,26,,,,,,,,,,,,,
A10729,25,26,,,,,,,,,,,,,
A10734,25,26,,,,,,,,,,,,,
A10460,9,11,,,,,,,,,,,,,
A10461,9,11,,,,,,,,,,,,,
A10548,9,11,,,,,,,,,,,,,
A10497,29,29,,,,,,,,,,,,,
A10770,29,29,,,,,,,,,,,,,
A10284,19,20,,,,,,,,,,,,,
A10461,25,26,,,,,,,,,,,,,
A10484,23,24,,,,,,,,,,,,,
A10026,9,11,,,,,,,,,,,,,
A10541,25,26,,,,,,,,,,,,,
A10780,7,9,,,,,,,,,,,,,
A10587,9,11,,,,,,,,,,,,,
A10417,18,19,,,,,,,,,,,,,
A10733,29,29,,,,,,,,,,,,,
A10597,9,11,,,,,,,,,,,,,
A10330,23,24,,,,,,,,,,,,,
A10358,23,24,,,,,,,,,,,,,
A10376,22,23,,,,,,,,,,,,,
A10655,23,24,,,,,,,,,,,,,
A10261,25,26,,,,,,,,,,,,,
A10688,23,24,,,,,,,,,,,,,
A10660,23,24,,,,,,,,,,,,,
A10453,25,26,,,,,,,,,,,,,
A10474,23,24,,,,,,,,,,,,,
A10748,25,26,,,,,,,,,,,,,
A10615,25,26,,,,,,,,,,,,,
A10346,23,24,,,,,,,,,,,,,
A10795,22,23,,,,,,,,,,,,,
A10552,9,11,,,,,,,,,,,,,
A10479,9,11,,,,,,,,,,,,,
A10388,9,11,,,,,,,,,,,,,
A10312,9,11,,,,,,,,,,,,,
A10370,25,26,,,,,,,,,,,,,
A10033,23,24,,,,,,,,,,,,,
A10032,23,24,,,,,,,,,,,,,
A10035,23,24,,,,,,,,,,,,,
A10286,9,11,,,,,,,,,,,,,
A10530,29,29,,,,,,,,,,,,,
A10463,25,26,,,,,,,,,,,,,
A10619,9,11,,,,,,,,,,,,,
A10466,9,11,,,,,,,,,,,,,
A10604,23,24,,,,,,,,,,,,,
A10776,23,24,,,,,,,,,,,,,
A10454,25,26,,,,,,,,,,,,,
A10662,25,26,,,,,,,,,,,,,
A10694,25,26,,,,,,,,,,,,,
A10692,29,29,,,,,,,,,,,,,
A10392,29,29,,,,,,,,,,,,,
A10777,23,24,,,,,,,,,,,,,
A10661,23,24,,,,,,,,,,,,,
A10626,9,11,,,,,,,,,,,,,
A10359,29,29,,,,,,,,,,,,,
A10500,29,29,,,,,,,,,,,,,
A10438,23,24,,,,,,,,,,,,,
A10171,25,26,,,,,,,,,,,,,
A10502,29,29,,,,,,,,,,,,,
A10807,9,11,,,,,,,,,,,,,
A10704,25,26,,,,,,,,,,,,,
A10588,9,11,,,,,,,,,,,,,
A10364,25,26,,,,,,,,,,,,,
A10534,25,26,,,,,,,,,,,,,
A10640,9,11,,,,,,,,,,,,,
A10728,9,11,,,,,,,,,,,,,
A10699,23,24,,,,,,,,,,,,,
A10431,3,5,,,,,,,,,,,,,
A10319,23,24,,,,,,,,,,,,,
A10500,29,29,,,,,,,,,,,,,
A10392,9,11,,,,,,,,,,,,,
A10128,15,16,,,,,,,,,,,,,
A10531,29,29,,,,,,,,,,,,,
A10412,18,19,,,,,,,,,,,,,
A10481,9,11,,,,,,,,,,,,,
A10484,25,26,,,,,,,,,,,,,
A10465,25,26,,,,,,,,,,,,,
A10363,18,19,,,,,,,,,,,,,
A10413,18,19,,,,,,,,,,,,,
A10532,29,29,,,,,,,,,,,,,
A10475,21,22,,,,,,,,,,,,,
A10527,22,23,,,,,,,,,,,,,
A10557,25,26,,,,,,,,,,,,,
A10350,15,16,,,,,,,,,,,,,
A10628,15,16,,,,,,,,,,,,,
A10512,23,24,,,,,,,,,,,,,
A10506,23,24,,,,,,,,,,,,,
A10472,5,7,,,,,,,,,,,,,
A10751,22,23,,,,,,,,,,,,,
A10455,29,29,,,,,,,,,,,,,
A10551,23,24,,,,,,,,,,,,,
A10273,25,26,,,,,,,,,,,,,
A10372,25,26,,,,,,,,,,,,,
A10682,29,29,,,,,,,,,,,,,
A10243,23,24,,,,,,,,,,,,,
A10544,23,24,,,,,,,,,,,,,
A10488,22,23,,,,,,,,,,,,,
A10375,9,11,,,,,,,,,,,,,
A10644,25,26,,,,,,,,,,,,,
A10146,25,26,,,,,,,,,,,,,
A10533,29,29,,,,,,,,,,,,,
A10393,18,19,,,,,,,,,,,,,
A10344,29,29,,,,,,,,,,,,,
A10389,29,29,,,,,,,,,,,,,
A10391,29,29,,,,,,,,,,,,,
A10709,9,11,,,,,,,,,,,,,
A10403,25,26,,,,,,,,,,,,,
A10801,7,9,,,,,,,,,,,,,
A10663,9,11,,,,,,,,,,,,,
A10308,23,24,,,,,,,,,,,,,
A10470,9,11,,,,,,,,,,,,,
A10400,25,26,,,,,,,,,,,,,
A10354,5,7,,,,,,,,,,,,,
A10409,29,29,,,,,,,,,,,,,
A10744,23,24,,,,,,,,,,,,,
A10474,5,7,,,,,,,,,,,,,
A10232,23,24,,,,,,,,,,,,,
A10314,7,9,,,,,,,,,,,,,
A10491,18,19,,,,,,,,,,,,,
A10437,25,26,,,,,,,,,,,,,
A10701,15,16,,,,,,,,,,,,,
A10186,25,26,,,,,,,,,,,,,
A10418,25,26,,,,,,,,,,,,,
A10667,25,26,,,,,,,,,,,,,
A10202,25,26,,,,,,,,,,,,,
A10686,23,24,,,,,,,,,,,,,
A10377,18,19,,,,,,,,,,,,,
A10505,25,26,,,,,,,,,,,,,
A10357,23,24,,,,,,,,,,,,,
A10015,9,11,,,,,,,,,,,,,
A10676,9,11,,,,,,,,,,,,,
A10683,29,29,,,,,,,,,,,,,
A10535,29,29,,,,,,,,,,,,,
A10401,25,26,,,,,,,,,,,,,
A10558,25,26,,,,,,,,,,,,,
A10753,9,11,,,,,,,,,,,,,
A10055,9,11,,,,,,,,,,,,,
A10316,9,11,,,,,,,,,,,,,
A10441,9,11,,,,,,,,,,,,,
A10292,9,11,,,,,,,,,,,,,
A10400,22,23,,,,,,,,,,,,,
A10393,23,24,,,,,,,,,,,,,
A10281,23,24,,,,,,,,,,,,,
A10018,9,11,,,,,,,,,,,,,
A10554,25,26,,,,,,,,,,,,,
A10324,9,11,,,,,,,,,,,,,
A10732,7,9,,,,,,,,,,,,,
A10478,23,24,,,,,,,,,,,,,
A10065,9,11,,,,,,,,,,,,,
A10498,29,29,,,,,,,,,,,,,
A10610,29,29,,,,,,,,,,,,,
A10345,29,29,,,,,,,,,,,,,
A10444,29,29,,,,,,,,,,,,,
A10221,23,24,,,,,,,,,,,,,
A10340,9,11,,,,,,,,,,,,,
A10339,25,26,,,,,,,,,,,,,
A10566,25,26,,,,,,,,,,,,,
A10196,23,24,,,,,,,,,,,,,
A10503,9,11,,,,,,,,,,,,,
A10287,9,11,,,,,,,,,,,,,
A10457,29,29,,,,,,,,,,,,,
A10742,23,24,,,,,,,,,,,,,
A10802,23,24,,,,,,,,,,,,,
A10200,23,24,,,,,,,,,,,,,
A10397,29,29,,,,,,,,,,,,,
A10353,9,11,,,,,,,,,,,,,
A10551,23,24,,,,,,,,,,,,,
A10523,23,24,,,,,,,,,,,,,
A10456,25,26,,,,,,,,,,,,,
A10277,23,24,,,,,,,,,,,,,
A10462,23,24,,,,,,,,,,,,,
A10440,15,16,,,,,,,,,,,,,
A10405,23,24,,,,,,,,,,,,,
A10783,23,24,,,,,,,,,,,,,
A10354,23,24,,,,,,,,,,,,,
A10379,23,24,,,,,,,,,,,,,
A10208,25,26,,,,,,,,,,,,,
A10359,25,26,,,,,,,,,,,,,
A10210,25,26,,,,,,,,,,,,,
A10677,25,26,,,,,,,,,,,,,
A10668,23,24,,,,,,,,,,,,,
A10360,25,26,,,,,,,,,,,,,
A10361,25,26,,,,,,,,,,,,,
A10761,23,24,,,,,,,,,,,,,
A10514,23,24,,,,,,,,,,,,,
A10370,25,26,,,,,,,,,,,,,
A10407,18,19,,,,,,,,,,,,,
A10424,18,19,,,,,,,,,,,,,
A10077,9,11,,,,,,,,,,,,,
A10449,25,26,,,,,,,,,,,,,
A10808,29,29,,,,,,,,,,,,,
A10476,29,29,,,,,,,,,,,,,
A10631,29,29,,,,,,,,,,,,,
A10546,25,26,,,,,,,,,,,,,
A10034,23,24,,,,,,,,,,,,,
A10037,23,24,,,,,,,,,,,,,
A10039,23,24,,,,,,,,,,,,,
A10036,23,24,,,,,,,,,,,,,
A10038,23,24,,,,,,,,,,,,,
A10379,23,24,,,,,,,,,,,,,
A10394,23,24,,,,,,,,,,,,,
A10499,29,29,,,,,,,,,,,,,
A10183,25,26,,,,,,,,,,,,,
A10070,9,11,,,,,,,,,,,,,
A10062,9,11,,,,,,,,,,,,,
A10433,25,26,,,,,,,,,,,,,
A10421,23,24,,,,,,,,,,,,,
A10215,9,11,,,,,,,,,,,,,
A10489,25,26,,,,,,,,,,,,,
A10373,23,24,,,,,,,,,,,,,
A10508,15,16,,,,,,,,,,,,,
A10322,23,24,,,,,,,,,,,,,
A10416,18,19,,,,,,,,,,,,,
A10060,23,24,,,,,,,,,,,,,
A10041,7,9,,,,,,,,,,,,,
A10020,9,11,,,,,,,,,,,,,
A10112,25,26,,,,,,,,,,,,,
A10369,25,26,,,,,,,,,,,,,
A10174,25,26,,,,,,,,,,,,,
A10387,25,26,,,,,,,,,,,,,
A10710,25,26,,,,,,,,,,,,,
A10473,23,24,,,,,,,,,,,,,
A10738,23,24,,,,,,,,,,,,,
A10789,29,29,,,,,,,,,,,,,
A10561,23,24,,,,,,,,,,,,,
A10345,15,16,,,,,,,,,,,,,
A10355,15,16,,,,,,,,,,,,,
A10814,23,24,,,,,,,,,,,,,
A10772,23,24,,,,,,,,,,,,,
A10414,25,26,,,,,,,,,,,,,
A10695,23,24,,,,,,,,,,,,,
A10539,25,26,,,,,,,,,,,,,
A10555,25,26,,,,,,,,,,,,,
A10395,18,19,,,,,,,,,,,,,
A10470,29,29,,,,,,,,,,,,,
A10792,29,29,,,,,,,,,,,,,
A10716,29,29,,,,,,,,,,,,,
A10602,18,19,,,,,,,,,,,,,
A10542,23,24,,,,,,,,,,,,,
A10538,25,26,,,,,,,,,,,,,
A10016,23,24,,,,,,,,,,,,,
A10336,25,26,,,,,,,,,,,,,
A10458,23,24,,,,,,,,,,,,,
A10150,15,16,,,,,,,,,,,,,
A10431,25,26,,,,,,,,,,,,,
A10432,25,26,,,,,,,,,,,,,
A10496,23,24,,,,,,,,,,,,,
A10684,23,24,,,,,,,,,,,,,
A10504,29,29,,,,,,,,,,,,,
A10429,18,19,,,,,,,,,,,,,
A10806,7,9,,,,,,,,,,,,,
A10402,25,26,,,,,,,,,,,,,
A10562,23,24,,,,,,,,,,,,,
A10552,23,24,,,,,,,,,,,,,
A10594,23,24,,,,,,,,,,,,,
A10521,23,24,,,,,,,,,,,,,
A10804,9,11,,,,,,,,,,,,,
A10508,9,11,,,,,,,,,,,,,
A10440,18,19,,,,,,,,,,,,,
A10188,25,26,,,,,,,,,,,,,
A10525,9,11,,,,,,,,,,,,,
A10156,25,26,,,,,,,,,,,,,
A10346,29,29,,,,,,,,,,,,,
A10633,29,29,,,,,,,,,,,,,
A10477,23,24,,,,,,,,,,,,,
A10416,25,26,,,,,,,,,,,,,
A10591,23,24,,,,,,,,,,,,,
A10493,18,19,,,,,,,,,,,,,
A10535,29,29,,,,,,,,,,,,,
A10696,15,16,,,,,,,,,,,,,
A10567,29,29,,,,,,,,,,,,,
A10066,23,24,,,,,,,,,,,,,
A10420,25,26,,,,,,,,,,,,,
A10320,9,11,,,,,,,,,,,,,
A10435,25,26,,,,,,,,,,,,,
A10091,9,11,,,,,,,,,,,,,
A10518,23,24,,,,,,,,,,,,,
A10352,18,19,,,,,,,,,,,,,
A10507,29,29,,,,,,,,,,,,,
A10532,29,29,,,,,,,,,,,,,
A10549,9,11,,,,,,,,,,,,,
A10439,23,24,,,,,,,,,,,,,
A10450,25,26,,,,,,,,,,,,,
A10603,9,11,,,,,,,,,,,,,
A10818,22,23,,,,,,,,,,,,,
A10309,23,24,,,,,,,,,,,,,
A10249,23,24,,,,,,,,,,,,,
A10265,7,9,,,,,,,,,,,,,
A10265,25,26,,,,,,,,,,,,,
A10427,25,26,,,,,,,,,,,,,
A10559,9,11,,,,,,,,,,,,,
A10434,25,26,,,,,,,,,,,,,
A10142,25,26,,,,,,,,,,,,,
A10475,29,29,,,,,,,,,,,,,
A10526,29,29,,,,,,,,,,,,,
A10058,9,11,,,,,,,,,,,,,
A10017,9,11,,,,,,,,,,,,,
A10057,9,11,,,,,,,,,,,,,
A10390,29,29,,,,,,,,,,,,,
A10550,9,11,,,,,,,,,,,,,
A10809,9,11,,,,,,,,,,,,,
A10524,23,24,,,,,,,,,,,,,
A10270,25,26,,,,,,,,,,,,,
A10444,7,9,,,,,,,,,,,,,
A10665,25,26,,,,,,,,,,,,,
A10495,23,24,,,,,,,,,,,,,
A10454,25,26,,,,,,,,,,,,,
A10708,25,26,,,,,,,,,,,,,
A10460,25,26,,,,,,,,,,,,,
A10528,23,24,,,,,,,,,,,,,
A10064,9,11,,,,,,,,,,,,,
A10075,9,11,,,,,,,,,,,,,
A10061,9,11,,,,,,,,,,,,,
A10099,23,24,,,,,,,,,,,,,
A10282,25,26,,,,,,,,,,,,,
A10347,25,26,,,,,,,,,,,,,
A10600,29,29,,,,,,,,,,,,,
A10348,29,29,,,,,,,,,,,,,
A10618,23,24,,,,,,,,,,,,,
A10430,25,26,,,,,,,,,,,,,
A10411,4,3,,,,,,,,,,,,,
A10816,18,19,,,,,,,,,,,,,
A10681,23,24,,,,,,,,,,,,,
A10762,23,24,,,,,,,,,,,,,
A10754,8,10,,,,,,,,,,,,,
A10577,23,24,,,,,,,,,,,,,
A10579,23,24,,,,,,,,,,,,,
A10488,23,24,,,,,,,,,,,,,
A10198,23,24,,,,,,,,,,,,,
A10424,25,26,,,,,,,,,,,,,
A10303,23,24,,,,,,,,,,,,,
A10386,18,19,,,,,,,,,,,,,
A10545,23,24,,,,,,,,,,,,,
A10244,23,24,,,,,,,,,,,,,
A10095,9,11,,,,,,,,,,,,,
A10251,23,24,,,,,,,,,,,,,
A10398,29,29,,,,,,,,,,,,,
A10219,23,24,,,,,,,,,,,,,
A10672,23,24,,,,,,,,,,,,,
A10719,23,24,,,,,,,,,,,,,
A10569,29,29,,,,,,,,,,,,,
A10182,25,26,,,,,,,,,,,,,
A10127,25,26,,,,,,,,,,,,,
A10506,23,24,,,,,,,,,,,,,
A10656,25,26,,,,,,,,,,,,,
A10144,25,26,,,,,,,,,,,,,
A10642,23,24,,,,,,,,,,,,,
A10361,29,29,,,,,,,,,,,,,
A10536,29,29,,,,,,,,,,,,,
A10349,29,29,,,,,,,,,,,,,
A10520,29,29,,,,,,,,,,,,,
A10634,29,29,,,,,,,,,,,,,
A10161,25,26,,,,,,,,,,,,,
A10693,25,26,,,,,,,,,,,,,
A10315,9,11,,,,,,,,,,,,,
A10451,25,26,,,,,,,,,,,,,
A10388,22,23,,,,,,,,,,,,,
A10735,22,23,,,,,,,,,,,,,
A10530,25,26,,,,,,,,,,,,,
A10537,29,29,,,,,,,,,,,,,
A10384,29,29,,,,,,,,,,,,,
A10712,23,24,,,,,,,,,,,,,
A10404,22,23,,,,,,,,,,,,,
A10757,25,26,,,,,,,,,,,,,
A10582,25,26,,,,,,,,,,,,,
A10192,23,24,,,,,,,,,,,,,
A10469,15,16,,,,,,,,,,,,,
A10621,23,24,,,,,,,,,,,,,
A10124,25,26,,,,,,,,,,,,,
A10511,23,24,,,,,,,,,,,,,
A10650,23,24,,,,,,,,,,,,,
A10538,29,29,,,,,,,,,,,,,
A10374,18,19,,,,,,,,,,,,,
A10326,23,24,,,,,,,,,,,,,
A10593,23,24,,,,,,,,,,,,,
A10447,9,11,,,,,,,,,,,,,
A10469,25,26,,,,,,,,,,,,,
A10425,15,16,,,,,,,,,,,,,
A10426,25,26,,,,,,,,,,,,,
A10786,8,10,,,,,,,,,,,,,
A10782,9,11,,,,,,,,,,,,,
A10787,9,11,,,,,,,,,,,,,
A10606,25,26,,,,,,,,,,,,,
A10463,25,26,,,,,,,,,,,,,
A10675,9,11,,,,,,,,,,,,,
A10468,9,11,,,,,,,,,,,,,
A10103,25,26,,,,,,,,,,,,,
A10291,23,24,,,,,,,,,,,,,
A10230,23,24,,,,,,,,,,,,,
A10673,25,26,,,,,,,,,,,,,
A10539,29,29,,,,,,,,,,,,,
A10407,18,19,,,,,,,,,,,,,
A10794,18,19,,,,,,,,,,,,,
A10293,9,11,,,,,,,,,,,,,
A10620,25,26,,,,,,,,,,,,,
A10430,18,19,,,,,,,,,,,,,
A10464,23,24,,,,,,,,,,,,,
A10410,18,19,,,,,,,,,,,,,
A10477,23,24,,,,,,,,,,,,,
A10766,22,23,,,,,,,,,,,,,
A10601,18,19,,,,,,,,,,,,,
